,0,1,2
0,deep,full,352
1,deep,full,210
2,deep,full,435
3,deep,full,98
4,deep,full,284
5,deep,pca,243
6,deep,pca,216
7,deep,pca,185
8,deep,pca,266
9,deep,pca,276
10,deep,reduced,369
11,deep,reduced,169
12,deep,reduced,106
13,deep,reduced,285
14,deep,reduced,419
15,moderate,full,110
16,moderate,full,56
17,moderate,full,71
18,moderate,full,79
19,moderate,full,103
20,moderate,pca,82
21,moderate,pca,81
22,moderate,pca,79
23,moderate,pca,98
24,moderate,pca,85
25,moderate,reduced,51
26,moderate,reduced,95
27,moderate,reduced,85
28,moderate,reduced,121
29,moderate,reduced,87
30,shallow,full,23
31,shallow,full,76
32,shallow,full,33
33,shallow,full,22
34,shallow,full,22
35,shallow,pca,19
36,shallow,pca,23
37,shallow,pca,14
38,shallow,pca,23
39,shallow,pca,19
40,shallow,reduced,16
41,shallow,reduced,15
42,shallow,reduced,31
43,shallow,reduced,13
44,shallow,reduced,25
