,0,1,2
0,deep,full,"[15.011883856354903, 9.762970173984245, 8.55807810354518, 7.98820614506155, 9.209102004782256, 7.734658221979757, 3.888390618786932, 3.448330316669186, 3.0908622462873465, 2.825325608091056, 2.6543933501368837, 2.5680804688278474, 2.5356570701073595, 2.5267518273580896, 2.521635210204563, 2.521353894598902, 2.519942868550859]"
1,deep,full,"[9.215252129028716, 5.905071600174148, 3.7426561476577738, 2.5143380456558733, 2.5026414652269926, 2.482589480662344, 2.4720526906870286, 2.4667026287005513, 2.459571957525031, 2.456293455540714]"
2,deep,full,"[15.834415524329472, 10.239488393350298, 7.759823918098956, 8.087276108195804, 7.278699479216063, 6.10300403222048, 5.675904351155679, 5.583363891053945, 3.298970428262794, 2.5280632307866746, 2.526515994784094, 2.5170075013792568, 2.509799496427852, 2.5064130291950693, 2.493606473953626, 2.4867196261372957, 2.4818658471405257, 2.4628881989091345, 2.45471245512884, 2.4444752529237554, 2.438330567151085, 2.437623556282327]"
3,deep,full,"[12.371841377443534, 6.444423599162314, 6.018590335688578, 6.273330224741508, 5.857671075364984]"
4,deep,full,"[13.022752272442968, 6.929190748204038, 5.926834111281901, 4.178822441002176, 2.5284639051649753, 2.521685337372438, 2.5131764422573983, 2.5066550992906937, 2.4984317152336466, 2.4854665057103844, 2.47023679130724, 2.461195655075176, 2.4552237719430505, 2.441127366855787, 2.4301403374253607]"
5,deep,pca,"[11.636741800840975, 6.439714766642353, 5.98403590518298, 5.375320706826969, 2.525513017685604, 2.515414069688038, 2.509123217661604, 2.501369168346741, 2.4867994887274243, 2.4749329429942937, 2.464558312627804, 2.4590885722748164]"
6,deep,pca,"[14.194435400584204, 8.877599715356363, 7.020438932215686, 6.684795543902233, 6.13574907852062, 3.299844288174493, 2.533474567809786, 2.532044469628938, 2.5280669542023437, 2.5242992668416786, 2.5190608643103074]"
7,deep,pca,"[16.794263133110444, 8.744961865240093, 6.498663142144152, 5.832006702613672, 5.585771887932779, 3.6161360563620804, 2.520050832030721, 2.5099296383759913, 2.5025386045832896, 2.4916523294980877]"
8,deep,pca,"[11.604580922325647, 6.349122938222974, 3.9196806581292325, 2.5294848840121706, 2.5166838227299393, 2.5032320510392725, 2.4944561259967264, 2.4873584201465664, 2.4725157168566456, 2.4681007640203516, 2.4552138274916637, 2.452134105296745, 2.446985894812019, 2.4471262219762306]"
9,deep,pca,"[12.01934591840086, 6.421343937566969, 4.00391512037668, 2.5525590609876114, 2.528158371629528, 2.5209644059338654, 2.515638815554471, 2.4997488275157917, 2.4846413339278905, 2.4727955883163424, 2.453054389137168, 2.444210461813661, 2.432752339649179]"
10,deep,reduced,"[12.913077070299588, 6.532496000507491, 5.652052405383854, 4.123016246793922, 2.534032971607584, 2.5247318066093185, 2.5174606319777166, 2.508816360515935, 2.4989255564857618, 2.49341852951353, 2.4854708750362913, 2.480083723034309, 2.4743995482966175, 2.4619481838604007, 2.4492488741721297, 2.4485162312758337, 2.455311280269246, 2.4530837159759207]"
11,deep,reduced,"[10.636195547710116, 4.870704749848514, 2.568844615028011, 2.532158582128066, 2.5297413011456626, 2.5278200082834514, 2.5170053372582717, 2.509556121193084]"
